LexicalClass,EntryID,LemmaID,Iconicity(M),Iconicity(bin),SignFrequency(M),SignFrequency(bin),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),SignLength(bin),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1,Telic,TelicHow,repetition,telicity notes
Verb,fly,fly,6.68,hiicon,2.885,medfreq,1.211,-0.696380321,26,0.00%,2.875,1.025,-0.699985356,16,0.00%,0,,,2.009,1.852,25,3.637,0,0,0,834.17,1534.87,700.7,medlong,2168.84,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,None,874,84,12,332,349,345,455,487,180,192,,D,70,3,0,0,,repetition,
Verb,call_tty,call_tty,1.267,loicon,3.4,medfreq,1.756,-0.772976418,25,0.00%,3.5,1.951,-0.680628712,14,0.00%,0,,,1.948,-0.789,30,NA,0,0,0,467.13,700.7,233.57,short,1501.5,AsymmetricalDifferentHandshape,Hand,FingerBack,i,2,Straight,566,26,4,178,216,21,265,76,177,39,,B,26,3,0,1,contactChange|decel,,
Verb,thief_2,thief_2,1.519,loicon,3.68,medfreq,1.314,-0.589470737,25,0.00%,3.5,1.345,-0.664791137,14,0.00%,0,,,2.016,-0.673,27,3.093,0,0,0,600.6,900.9,300.3,short,1668.34,AsymmetricalDifferentHandshape,Arm,ForearmUlnar,im,1,Straight,689,7,1,178,27,12,129,487,177,66,,B,87,1,0,1,apertureChange|contactChange,,
Verb,sing,sing,2.56,medicon,3,medfreq,1.72,-0.668176903,26,0.00%,3.063,1.611,-0.663146237,16,0.00%,0,,,2.009,-0.24,25,3.697,0,0,0,467.13,1768.44,1301.3,long,2469.14,AsymmetricalSameHandshape,Arm,Other,imrp,1,BackAndForth,852,16,3,78,27,74,455,487,46,192,,D,75,3,0,0,,repetition,
Verb,dice,dice,6.129,hiicon,3.222,medfreq,1.625,-0.501640957,27,0.00%,3.059,1.345,-0.627822995,17,0.00%,0,,,2.166,1.472,31,2.728,0,0,0,600.6,1401.4,800.8,medlong,1968.64,OneHanded,Neutral,Neutral,imrp,7,BackAndForth,867,30,12,388,349,345,455,82,354,72,,D,36,2,0,1,apertureChange,,
Verb,brag,brag,3.733,medicon,3.72,medfreq,1.568,-0.557482702,25,0.00%,3.571,1.828,-0.617957026,14,0.00%,0,,,1.948,0.445,30,2.255,0,0,0,333.67,934.27,600.6,medshort,1634.97,SymmetricalOrAlternating,Body,Waist,p,1,BackAndForth,814,11,0,332,100,4,41,487,354,38,,B,11,3,0,0,,repetition,
Verb,wink,wink,5.75,hiicon,3,medfreq,1.649,-0.615952001,26,0.00%,3.063,1.611,-0.599529053,16,0.00%,0,,,2.009,1.336,24,2.258,0,0,0,667.33,1034.37,367.03,medshort,1701.7,OneHanded,Head,Eye,i,3,None,663,29,2,388,300,61,265,88,180,17,,D,15,1,0,1,apertureChange,,
Verb,subtract,subtract,3.3,medicon,3.96,medfreq,1.513,-0.424410853,25,0.00%,3.643,1.151,-0.591411123,14,0.00%,0,,,2.045,0.261,30,1.462,0,0,0,567.23,934.27,367.03,medshort,1735.07,AsymmetricalDifferentHandshape,Hand,Palm,imrp,5,Straight,677,16,2,178,216,91,455,108,177,89,,B,27,2,0,1,contactChange|apertureChange,,
Verb,whip,whip,6.381,hiicon,2.696,medfreq,1.46,-0.73764242,23,4.00%,2.857,1.406,-0.590687879,14,6.67%,0,,,2.153,1.296,21,2.827,0,0,0,367.03,1067.73,700.7,medlong,1301.3,OneHanded,Neutral,Neutral,i,2,BackAndForth,841,26,8,388,349,345,265,76,354,39,,B,88,1,0,1,decel,,
Verb,pretend,pretend,1.667,loicon,3.192,medfreq,1.47,-0.54096993,26,0.00%,3.188,1.424,-0.575666525,16,0.00%,0,,,2.009,-0.652,24,3.313,0,0,0,533.87,1167.84,633.97,medshort,1901.9,OneHanded,Head,CheekNose,i,1,BackAndForth,861,90,7,388,300,45,265,487,354,134,,D,62,3,0,0,,repetition,
Verb,forfeit,forfeit,1.633,loicon,3.8,medfreq,1.642,-0.281258261,20,22.22%,3.308,1.601,-0.551348244,13,17.65%,1,30.00%,30.77%,2.166,-0.602,30,2.201,0,1,0,533.87,1634.97,1101.1,long,2335.67,OneHanded,Neutral,Neutral,i,6,Curved,768,14,2,388,349,345,265,74,125,42,,D,38,2,0,1,contactChange,,
Verb,cover_up,cover_up,2.889,medicon,3.429,medfreq,1.501,-0.521114441,28,3.33%,3.563,1.365,-0.53886557,16,5.56%,1,75.00%,68.75%,2.075,-0.05,36,1.041,0,0,0,433.77,900.9,467.13,medshort,1935.27,AsymmetricalSameHandshape,Hand,Palm,imrp,1,Straight,831,35,5,78,216,91,455,487,177,192,,C,38,3,0,0,,,
Verb,swallow,swallow,5.567,hiicon,3.76,medfreq,1.393,-0.51989476,25,0.00%,3.714,1.541,-0.524862616,14,0.00%,0,,,2.045,1.36,30,2.813,0,0,0,567.23,1267.94,700.7,medlong,1768.44,OneHanded,Body,Neck,i,1,Curved,806,19,3,388,100,11,265,487,125,134,,B,19,2,0,1,decel,,
Verb,push,push,7,hiicon,3.556,medfreq,1.476,-0.30528325,27,0.00%,3.235,1.033,-0.521443768,17,0.00%,0,,,2.166,1.904,31,3.556,0,0,0,500.5,934.27,433.77,medshort,1735.07,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Straight,870,88,12,332,349,345,455,487,177,192,,D,77,2,0,1,decel,,
Verb,think_over,think_over,4.633,hiicon,2.731,medfreq,1.614,-0.811411687,26,3.70%,3.176,1.704,-0.51708435,17,0.00%,1,73.08%,82.35%,2.166,0.771,30,4.983,0,0,0,700.7,2202.2,1501.5,long,2736.07,AsymmetricalDifferentHandshape,Head,Forehead,i,1,Circular,805,12,6,178,300,26,265,487,111,134,,D,54,2,0,0,contactChange,repetition,COMPOUND?
Verb,promote,promote,3.694,medicon,3.462,medfreq,1.581,-0.355476842,26,3.70%,3.25,1.483,-0.506524316,16,0.00%,0,,,2.025,0.336,36,2.354,0,0,0,467.13,1334.67,867.53,medlong,2369.04,SymmetricalOrAlternating,Neutral,Neutral,imrp,4,Curved,709,21,3,332,349,345,455,52,125,30,,D,61,1,0,1,decel,,
Verb,kill,kill,2.556,medicon,3.444,medfreq,1.476,-0.394446452,27,0.00%,3.313,1.493,-0.493727918,16,0.00%,0,,,2.025,-0.208,36,4.363,0,0,0,567.23,1067.73,500.5,medshort,2102.1,AsymmetricalDifferentHandshape,Hand,Palm,i,4,Straight,562,14,1,178,216,91,265,52,177,16,,D,13,1,0,1,decel|contactChange,,
Verb,vomit,vomit,6.419,hiicon,3.444,medfreq,1.625,-0.37470632,27,0.00%,3.294,1.312,-0.48518826,17,0.00%,0,,,2.166,1.609,31,2.436,0,0,0,600.6,1134.47,533.87,medshort,1868.54,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Curved,867,78,9,332,349,345,455,487,125,192,,A,6,2,0,1,orientationChange,,TNM
Verb,sweep,sweep,4.6,medicon,3.259,medfreq,1.43,-0.473905564,27,0.00%,3.25,1.39,-0.474497024,16,0.00%,1,70.37%,62.50%,1.821,0.647,30,2.687,0,0,0,467.13,1668.34,1201.2,long,2235.57,AsymmetricalSameHandshape,Hand,Palm,imrp,1,Circular,829,35,5,78,216,91,455,487,111,192,,D,86,1,0,0,,repetition,
Verb,pull,pull,6.645,hiicon,3.778,medfreq,1.695,-0.181649009,27,0.00%,3.353,1.222,-0.467717801,17,0.00%,0,,,2.166,1.723,31,3.873,0,0,0,700.7,1134.47,433.77,medshort,1768.44,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,D,62,2,0,1,decel,,
Verb,wear,wear,2.167,loicon,4.478,medfreq,1.534,-0.105251754,23,0.00%,3.846,1.573,-0.464726448,13,0.00%,0,,,2.045,-0.293,30,3.746,0,0,0,500.5,1067.73,567.23,medshort,1434.77,SymmetricalOrAlternating,Body,Clavicle,imrp,1,Curved,842,29,4,332,100,41,455,487,125,192,,C,65,2,0,1,orientationChange,,
Verb,beat,beat,1.625,loicon,3.24,medfreq,1.052,-0.539199515,25,0.00%,3.438,0.629,-0.439486726,16,0.00%,1,60.00%,62.50%,2.009,-0.681,24,3.827,0,0,0,567.23,1534.87,967.63,medlong,2068.74,AsymmetricalDifferentHandshape,Hand,FingerTip,imrp,7,Straight,674,18,1,178,216,15,455,82,177,72,,D,20,3,0,1,orientationChange,,
Verb,zoom_in,zoom_in,4.667,hiicon,3.958,medfreq,1.781,-0.44335019,24,4.00%,3.929,1.492,-0.438884569,14,0.00%,1,37.50%,50.00%,1.821,0.7,30,2.26,0,0,0,700.7,1334.67,633.97,medshort,1835.17,SymmetricalOrAlternating,Neutral,Neutral,i,7,Straight,713,15,1,332,349,345,265,82,177,6,,D,34,1,0,1,apertureChange,,
Verb,breakdown,breakdown,3.741,medicon,4.333,medfreq,1.903,-0.180201396,24,0.00%,3.846,1.625,-0.436768017,13,0.00%,0,,,2.016,0.408,27,2.573,0,0,0,500.5,1001,500.5,medshort,1835.17,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,Other,689,37,2,332,349,345,455,108,46,89,,B,64,1,0,1,orientationChange,,
Verb,vacuum,vacuum,4.52,medicon,3.692,medfreq,1.289,-0.24251496,26,0.00%,3.375,1.36,-0.431988018,16,0.00%,1,96.15%,93.75%,2.009,0.748,25,2.47,0,0,0,500.5,2202.2,1701.7,long,3036.37,OneHanded,Neutral,Neutral,i,7,Other,761,2,1,388,349,345,265,82,46,6,,B,16,3,0,0,,repetition,
Verb,smoking,smoking,6.806,hiicon,3.433,medfreq,1.813,-0.565794073,30,0.00%,3.778,1.801,-0.426010522,18,0.00%,1,100.00%,100.00%,2.075,1.885,36,3.524,0,0,0,433.77,1034.37,600.6,medshort,1601.6,OneHanded,Neutral,Neutral,im,1,BackAndForth,903,27,7,388,349,345,129,487,354,66,,C,87,3,0,0,,repetition,
Verb,waste,waste,2.3,loicon,3.724,medfreq,1.099,-0.363746271,29,3.33%,3.778,1.114,-0.418243088,18,0.00%,0,,,1.921,-0.307,30,3.434,0,0,0,533.87,1334.67,800.8,medlong,1701.7,SymmetricalOrAlternating,Hand,FingerFront,imrp,1,BackAndForth,921,55,18,332,216,12,455,487,354,192,,C,57,2,0,0,,repetition,
Verb,punish,punish,2.667,medicon,3.8,medfreq,1.883,-0.277864739,30,0.00%,3.833,1.886,-0.399384821,18,0.00%,0,,,2.025,-0.06,27,2.694,0,0,0,467.13,734.07,266.93,short,1701.7,AsymmetricalDifferentHandshape,Arm,ForearmUlnar,i,1,Straight,743,14,1,178,27,12,265,487,177,134,,C,41,2,0,1,orientationChange,,
Verb,jump,jump,5.407,hiicon,3.828,medfreq,1.537,-0.271535754,29,3.33%,3.824,1.237,-0.389265174,17,5.56%,0,,,2.025,1.269,27,3.552,0,0,0,400.4,1001,600.6,medshort,1901.9,AsymmetricalDifferentHandshape,Hand,Palm,im,1,BackAndForth,781,40,11,178,216,91,129,487,354,66,,C,89,2,0,1,contactChange,,
Verb,lose_game,lose_game,2.074,loicon,3.867,medfreq,1.57,-0.31158829,30,0.00%,3.889,1.779,-0.378285686,18,0.00%,0,,,2.025,-0.373,27,3.923,0,0,0,400.4,934.27,533.87,medshort,1735.07,AsymmetricalDifferentHandshape,Hand,Palm,im,1,Straight,703,33,2,178,216,91,129,487,177,66,,C,9,2,0,1,contactChange,,
Verb,decide_1,decide,2.3,loicon,4.24,medfreq,1.48,-0.20669691,25,0.00%,4,1.468,-0.368099343,14,0.00%,0,,,2.045,-0.229,30,3.41,1,0,0,567.23,1067.73,500.5,medshort,1868.54,Other,Head,Eye,i,1,None,751,23,22,17,300,61,265,487,180,134,,B,74,2,0,1,decel,,
Verb,upload,upload,3.433,medicon,3.5,medfreq,1.815,-0.495404679,30,0.00%,3.944,2.071,-0.345117925,18,0.00%,0,,,1.921,0.245,30,1.771,0,0,0,467.13,1601.6,1134.47,long,2168.84,SymmetricalOrAlternating,Neutral,Neutral,im,1,Curved,800,17,2,332,349,345,129,487,125,66,,C,63,2,0,1,apertureChange,,
Verb,accident,accident,3.3,medicon,4.12,medfreq,1.833,-0.325682585,25,0.00%,4.071,1.592,-0.344426334,14,0.00%,0,,,2.045,0.263,30,3.618,0,0,0,400.4,1101.1,700.7,medlong,1634.97,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Straight,870,88,12,332,349,345,455,487,177,192,,B,59,2,0,1,contactChange,,
Verb,figure,figure,1.871,loicon,3.69,medfreq,1.775,-0.342932802,29,0.00%,3.824,1.845,-0.344246106,17,0.00%,1,48.28%,35.29%,1.821,-0.836,31,3.82,0,0,0,400.4,900.9,500.5,medshort,1568.24,SymmetricalOrAlternating,Neutral,Neutral,im,1,BackAndForth,861,54,7,332,349,345,129,487,354,66,,C,16,1,0,0,,repetition,
Verb,fall_2,fall_2,3.2,medicon,3.733,medfreq,1.285,-0.333698656,30,0.00%,3.944,1.259,-0.334115029,18,0.00%,0,,,2.075,0.096,35,3.781,0,0,0,433.77,834.17,400.4,medshort,1935.27,OneHanded,Neutral,Neutral,im,1,Curved,858,17,2,388,349,345,129,487,125,66,,C,7,3,0,1,orientationChange,,
Verb,surf,surf,2.923,medicon,3.032,medfreq,1.906,-0.524281022,31,0.00%,3.333,1.847,-0.322388645,18,0.00%,1,83.87%,88.89%,2.048,-0.116,39,2.364,0,0,0,300.3,900.9,600.6,medshort,1901.9,AsymmetricalDifferentHandshape,Hand,FingerBack,im,2,BackAndForth,579,20,1,178,216,21,129,76,354,19,,A,48,1,0,0,,repetition,
Verb,stir,stir,6.739,hiicon,3.423,medfreq,1.629,-0.365109638,26,0.00%,3.563,1.548,-0.303635481,16,0.00%,0,,,2.009,1.855,23,2.48,0,0,0,467.13,1701.7,1234.57,long,2168.84,AsymmetricalDifferentHandshape,Hand,Other,i,2,Circular,525,16,1,178,216,74,265,76,111,39,,D,55,3,0,0,,repetition,
Verb,embarrass,embarrass,3.667,medicon,3.7,medfreq,1.393,-0.372608153,30,0.00%,4,1.495,-0.303487241,18,0.00%,0,,,1.921,0.404,30,2.654,0,0,0,633.97,1167.84,533.87,medshort,2335.67,SymmetricalOrAlternating,Head,Other,imrp,1,Circular,893,22,4,332,300,74,455,487,111,192,,C,14,1,0,0,,repetition,
Verb,deny,deny,2.839,medicon,4,medfreq,1.544,-0.089113505,27,0.00%,3.706,1.448,-0.295571506,17,0.00%,1,66.67%,64.71%,1.821,-0.326,31,3.038,0,0,0,600.6,1468.14,867.53,medlong,2135.47,SymmetricalOrAlternating,Head,UnderChin,thumb,1,BackAndForth,867,15,4,332,300,7,54,487,354,44,,D,39,2,0,0,contactChange,repetition,
Verb,fight,fight,4.333,medicon,4.417,medfreq,1.349,-0.116974561,24,0.00%,4.231,0.927,-0.270771381,13,0.00%,0,,,1.948,0.813,30,4.011,0,0,0,500.5,800.8,300.3,short,1701.7,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,B,58,3,0,1,orientationChange,,
